metric,value
n_questions,27
execution_accuracy,0.9411764705882353
exact_match,0.4117647058823529
sql_validity_rate,1.0
schema_matching_accuracy,1.0
business_answer_correctness,0.9411764705882353
kpi_matching_accuracy,1.0
evidence_support_rate,0.8176470588235292
avg_confidence,0.667074074074074
avg_confidence_correct,0.9825000000000002
avg_confidence_incorrect,0.97
high_confidence_error_rate,0.058823529411764705
decision_correctness,0.9629629629629629
answer_precision,0.9411764705882353
unsafe_answer_rate,0.037037037037037035
ece,0.0405882352941177
brier,0.05582941176470588
